ENTRÉES & SIDES,Serv-SizeServing Size,CaloriesCalories,Cal-FatCalories From Fat,Total Fat (g)Total Fat in Grams,Sat-Fat (g)Saturated Fat in Grams,Trans Fat (g)Trans Fat in Grams,Chol- (mg)Cholesterol in Milligrams,Sodium (mg)Sodium in Milligrams,Tot-Carb (g)Total Carbohydrates in Grams,Diet-Fiber (g)Fiber in Grams,Sugar (g)Sugar in Grams,Protei- (g)Protein in Grams,Vit-A (%DV)Vitamin A (% Daily Value),Vit-C (%DV)Vitamin C (% Daily Value),Calc- (%DV)Calcium (% Daily Value),Iron (%DV)Iron (% Daily Value),Aller/OtherAllergies/Other
CITRUS GREEN TEA,8oz,2,0,0,0,0,0,0,<1,0,0,0,0%,0%,0%,0%,---
COKE®,8oz,110,0,0,0,0,0,25,29,0,29,0,0%,0%,0%,0%,---
DIET COKE®,8oz,<1,0,0,0,0,0,10,<1,0,<1,0,0%,0%,0%,0%,---
GLACEAU VITAMINWATER® XXX,8oz,50,0,0,0,0,0,25,14,0,13,0,0%,0%,0%,0%,---
MINUTE MAID® LEMONADE,8oz,100,0,0,0,0,0,70,29,0,27,0,0%,0%,0%,0%,---
MINUTE MAID® LIGHT™ LEMONADE,8oz,0,0,0,0,0,0,30,1,0,0,0,0%,0%,0%,0%,---
MINUTE MAID® LIGHT™ POMEGRANATE LEMONADE,8oz,0,0,0,0,0,0,45,1,0,0,0,10%,0%,0%,0%,---
PIBB® XTRA,8oz,100,0,0,0,0,0,40,28,0,28,0,0%,0%,0%,0%,---
POWERADE® MOUNTAIN BLAST,8oz,60,0,0,0,0,0,80,16,0,16,0,0%,0%,0%,0%,---
SPRITE®,8oz,100,0,0,0,0,0,22,26,0,26,0,0%,0%,0%,0%,---
STRAWBERRY LIMEADE,8oz,120,0,0,0,0,0,0,32,0,31,0,4%,0%,0%,0%,---
TROPICAL TEA,8oz,<1,0,0,0,0,0,0,<2,0,0,0,0%,0%,0%,0%,---
Desserts nutritional information,,,,,,,,,,,,,,,,,
DESSERTS (1 slice),Serv-SizeServing Size,CaloriesCalories,Cal-FatCalories From Fat,Total Fat (g)Total Fat in Grams,Sat-Fat (g)Saturated Fat in Grams,Trans Fat (g)Trans Fat in Grams,Chol- (mg)Cholesterol in Milligrams,Sodium (mg)Sodium in Milligrams,Tot-Carb (g)Total Carbohydrates in Grams,Diet-Fiber (g)Fiber in Grams,Sugar (g)Sugar in Grams,Protei- (g)Protein in Grams,Vit-A (%DV)Vitamin A (% Daily Value),Vit-C (%DV)Vitamin C (% Daily Value),Calc- (%DV)Calcium (% Daily Value),Iron (%DV)Iron (% Daily Value),Aller/OtherAllergies/Other
,,,,,,,,,,,,,,,,,
"SHAKES, WITH 2 TBSP WHIPPED CREAM",,,,,,,,,,,,,,,,,
(MAY COME IN CONTACT WITH GLUTEN),,,,,,,,,,,,,,,,,
VANILLA,16oz,710,260,30,20,0,100,360,100,0,80,14,0%,2%,6%,0%,D S
CHOCOLATE,16oz,820,240,28,19,0,90,350,133,0,108,12,0%,0%,4%,0%,D S
STRAWBERRY,16oz,760,240,27,18,0,95,350,119,0,98,13,0%,2%,4%,0%,D S
MOCHA,16oz,760,230,28,19,0,90,340,117,0,93,12,0%,0%,4%,0%,D S
COFFEE,16oz,680,240,28,19,0,90,330,99,0,79,12,0%,0%,4%,0%,D S
COOKIES & CREAM,16oz,800,310,34,19,0,95,430,113,2,81,12,15%,6%,40%,6%,D S W G
SUNDAES,,,,,,,,,,,,,,,,,
CHOCOLATE,16oz,990,330,37,23,0,100,360,161,3,119,17,16%,8%,50%,2%,D S N P
STRAWBERRY,16oz,940,330,37,23,0,100,345,142,3,106,17,16%,8%,50%,2%,D S N P
VANILLA,16oz,840,330,37,23,0,100,340,125,3,89,17,16%,8%,50%,2%,D S N P
CONE,6oz,330,100,11,8,0,45,150,52,0,37,5,6%,2%,20%,2%,D S W G
"OPTIONAL ITEMS, SAUCES, AND DRESSINGS",,,,,,,,,,,,,,,,,
AMERICAN CHEESE (1 SLICE),18g,70,50,6,4,0,15,340,<1,0,0,4,6%,0%,10%,0%,D S
APPLE JUICE,6oz,80,0,0,0,0,0,15,21,0,19,0,0%,100%,10%,0%,---
"APPLESAUCE CUP, UNSWEETENED",113g,50,0,0,0,0,0,0,12,2,11,0,0%,100%,0%,0%,---
AVOCADO (1 scoop),55g,90,75,8,1,0,0,45,5,4,0,1,2%,8%,0%,2%,---
BACON (2 strips),14g,100,85,9,3,0,10,300,0,0,0,4,0%,0%,0%,2%,---
BBQ SAUCE,2 Tbsp,60,0,0,0,0,0,240,15,0,12,0,0%,0%,0%,0%,---
BLUE CHEESE DRESSING,2 Tbsp,80,70,8,3,0,5,250,1,0,1,1,0%,0%,2%,0%,D E S SO
MARGARINE,2 Tsp,50,42,5,2,0,0,35,0,0,0,1,0%,0%,0%,0%,D S SO
CAESAR SALAD DRESSING,2 Tbsp,180,180,20,3,0,20,160,1,0,0,<1,0%,0%,0%,0%,D E S FSO
CARAMELIZED ONIONS,1oz,14,3,<1,0,0,0,150,3,<1,1,0,0%,2%,0%,0%,---
CRISPY CHICKEN FILET,156g,300,70,8,1.5,0,60,1140,34,0,1,23,4%,0%,2%,4%,S W G SO
CROUTONS (about 6 croutons),12g,40,13,1,0,0,0,80,6,0,0,1,0%,0%,2%,2%,W G SO
CRUMBLED BLUE CHEESE,2 Tbsp,50,35,4,3,0,15,190,<1,0,0,3,3%,0%,9%,0%,D
FAT FREE ITALIAN DRESSING (select locations),2 Tbsp,12,0,0,0,0,0,280,3,0,1,0,0%,0%,0%,0%,---
HOUSE DRESSING (balsamic & olive oil),2 Tbsp,160,150,17,3,0,0,120,3,0,2,0,0%,0%,0%,0%,S SO
IMPOSSIBLE™ PATTY,113g,240,120,14,8,0,0,390,9,3,<1,19,0%,0%,15%,15%,S
ITALIAN (select locations),2 Tbsp,110,90,10,1,0,0,260,7,0,6,0,0%,0%,0%,0%,E S SO
MAYONNAISE,1 Tbsp,100,100,12,2,0,10,50,0,0,0,0,0%,0%,0%,0%,SE
PINEAPPLE SLICE,23g,10,0,0,0,0,0,0,3,0,3,0,0%,0%,0%,0%,---
HOUSE RANCH DRESSING,2 Tbsp,120,110,12,2,0,10,210,2,0,<1,<1,0%,0%,0%,0%,DSE MSG
RED WINE VINAIGRETTE,2 Tbsp,150,150,17,3,0,0,140,1,0,<1,0,0%,0%,0%,0%,S MSG SO
ROASTED GARLIC AIOLI,2 Tbsp,180,180,21,4,0,20,280,1,0,0,<1,0%,0%,0%,0%,E SO
SAUTEÉD PORTABELLA MUSHROOMS,2oz,120,110,13,2,0,0,300,2,<1,<1,<1,6%,0%,0%,0,D E S SO
"SEASONED, CHARGRILLED AHI TUNA",80g,130,10,1,0,0,40,900,7,0,0,23,0%,0%,2%,4%,F
"SEASONED, GRILLED BEEF PATTY",55g,225,180,20,7,0,65,890,0,0,0,15,0%,0%,2%,10%,---
"SEASONED, GRILLED CHICKEN BREAST",100g,220,100,11,1,0,90,1000,2,0,1,30,0%,0%,0%,2%,S SO
"SEASONED, GRILLED TENDERLOIN STEAK",163g,320,110,12,5,0,140,940,6,0,5,46,0%,0%,2%,30%,S W G
SPICY RED PEPPER SAUCE (Boom),2 Tbsp,150,150,17,3,0,0,15,3,0,2,0,2%,4%,0%,0%,E S SO
SWEET MUSTARD DRESSING (Vegan),2 Tbsp,140,130,14,2,0,2,135,6,0,5,0,0%,0%,0%,0%,S SO
TARTAR SAUCE,2 Tbsp,160,160,17,3,0,15,190,1,0,0,0,4%,2%,0%,0%,E S SO
TERIYAKI SAUCE,2 Tbsp,34,0,0,0,0,0,700,8,0,7,0,0%,0%,0%,0%,S W G
THOUSAND ISLAND DRESSING,2 Tbsp,130,110,13,2,0,20,210,3,0,2,0,0%,0%,0%,0%,D E S SO
VEGGIE BURGER PATTY,100g,170,30,6,1,,0,460,16,3,2,14,0%,0%,2%,8%,S W G
WHIPPED CREAM,2 Tbsp,15,10,2,1,0,0,5,1,0,1,0,0%,0%,0%,0%,D S
WHITE AMERICAN CHEESE (1 slice),18g,70,50,5,3,0,15,300,0,0,0,4,4%,0%,15%,0%,D S
