Item,ServingSize,Price,Calories,CaloriesFromFat,TotalFat,SaturatedFat,TransFat,Cholesterol,Sodium,Carbohydrates,DietaryFiber,Sugars,Protein
Chicken Finger,,1.99,130,,6,1,0,40,190,5,1,0,13
Crinkle-Cut Fries,,2.72,290,,19,2,0,0,310,49,7,1,5
Texas Toast,,1.35,140,,4,1.5,0,0,260,23,1,4,4
Coleslaw,,1.35,100,,6,1,0,5,310,11,1,7,1
Cane's Sauce,,0.39,190,,19,3,0,10,580,6,0,4,0
Chicken Sandwich,,7.99,780,,39,6,0,120,1470,66,5,13,48
